ID,crop,distr,prov,year,years,area,prod,yield
29,cotton,Nushki,BALOCHISTAN,1999,1999-00,0.00,0.00,0
30,cotton,Panjgur,BALOCHISTAN,1999,1999-00,0.00,0.00,0
31,cotton,Pishin,BALOCHISTAN,1999,1999-00,0.00,0.00,0
32,cotton,Qilla Abdullah,BALOCHISTAN,1999,1999-00,0.00,0.00,0
33,cotton,Qilla Saifullah,BALOCHISTAN,1999,1999-00,0.00,0.00,0
34,cotton,Quetta,BALOCHISTAN,1999,1999-00,0.00,0.00,0
35,cotton,Sibi,BALOCHISTAN,1999,1999-00,0.80,2.30,489
36,cotton,Zhob,BALOCHISTAN,1999,1999-00,0.00,0.00,0
37,cotton,Ziarat,BALOCHISTAN,1999,1999-00,0.00,0.00,0
38,cotton,Disputed Area,DISPUTED AREA,1999,1999-00,0.00,0.00,0
39,cotton,Bajaur Agency,FATA,1999,1999-00,0.00,0.00,0
40,cotton,Khyber Agency,FATA,1999,1999-00,0.00,0.00,0
41,cotton,Kurrum Agency,FATA,1999,1999-00,0.00,0.00,0
42,cotton,Mohmand Agency,FATA,1999,1999-00,0.00,0.00,0
43,cotton,North Waziristan Agency,FATA,1999,1999-00,0.00,0.00,0
44,cotton,Orakzai Agency,FATA,1999,1999-00,0.00,0.00,0
45,cotton,South Waziristan Agency,FATA,1999,1999-00,0.00,0.00,0
46,cotton,Islamabad,FEDERAL,1999,1999-00,0.00,0.00,0
47,cotton,Astore,GILGIT BALTISTAN,1999,1999-00,0.00,0.00,0
48,cotton,Baltistan,GILGIT BALTISTAN,1999,1999-00,0.00,0.00,0
49,cotton,Diamir,GILGIT BALTISTAN,1999,1999-00,0.00,0.00,0
50,cotton,Ghanche,GILGIT BALTISTAN,1999,1999-00,0.00,0.00,0
51,cotton,Ghizer,GILGIT BALTISTAN,1999,1999-00,0.00,0.00,0
52,cotton,Gilgit,GILGIT BALTISTAN,1999,1999-00,0.00,0.00,0
53,cotton,Abbottabad,KPK,1999,1999-00,0.00,0.00,0
54,cotton,Bannu,KPK,1999,1999-00,0.00,0.00,0
55,cotton,Battagram,KPK,1999,1999-00,0.00,0.00,0
56,cotton,Buner,KPK,1999,1999-00,0.00,0.00,0
57,cotton,Charsadda,KPK,1999,1999-00,0.00,0.00,0
58,cotton,Chitral,KPK,1999,1999-00,0.00,0.00,0
59,cotton,Dera Ismail Khan,KPK,1999,1999-00,0.30,0.50,283
60,cotton,Hangu,KPK,1999,1999-00,0.00,0.00,0
61,cotton,Haripur,KPK,1999,1999-00,0.00,0.00,0
62,cotton,Karak,KPK,1999,1999-00,0.00,0.00,0
63,cotton,Kohat,KPK,1999,1999-00,0.00,0.00,0
64,cotton,Kohistan,KPK,1999,1999-00,0.00,0.00,0
65,cotton,Lakki Marwat,KPK,1999,1999-00,0.00,0.00,0
66,cotton,Lower Dir,KPK,1999,1999-00,0.00,0.00,0
67,cotton,Malakand,KPK,1999,1999-00,0.00,0.00,0
68,cotton,Mansehra,KPK,1999,1999-00,0.00,0.00,0
69,cotton,Mardan,KPK,1999,1999-00,0.00,0.00,0
70,cotton,Nowshera,KPK,1999,1999-00,0.00,0.00,0
71,cotton,Peshawar,KPK,1999,1999-00,0.00,0.00,0
72,cotton,Shangla,KPK,1999,1999-00,0.00,0.00,0
73,cotton,Swabi,KPK,1999,1999-00,0.00,0.00,0
74,cotton,Swat,KPK,1999,1999-00,0.00,0.00,0
75,cotton,Tank,KPK,1999,1999-00,0.00,0.00,0
76,cotton,Upper Dir,KPK,1999,1999-00,0.00,0.00,0
77,cotton,Attock,PUNJAB,1999,1999-00,0.00,0.00,0
78,cotton,Bahawalnagar,PUNJAB,1999,1999-00,183.72,710.69,658
79,cotton,Bahawalpur,PUNJAB,1999,1999-00,259.80,1150.20,753
80,cotton,Bhakkar,PUNJAB,1999,1999-00,6.88,17.85,441
81,cotton,Chakwal,PUNJAB,1999,1999-00,0.40,0.32,136
82,cotton,Chiniot,PUNJAB,1999,1999-00,0.00,0.00,0
83,cotton,Dera Ghazi Khan,PUNJAB,1999,1999-00,97.12,446.29,781
84,cotton,Faisalabad,PUNJAB,1999,1999-00,38.04,112.51,503
85,cotton,Gujranwala,PUNJAB,1999,1999-00,0.00,0.00,0
86,cotton,Gujrat,PUNJAB,1999,1999-00,0.00,0.00,0
87,cotton,Hafizabad,PUNJAB,1999,1999-00,0.00,0.00,0
88,cotton,Jhang,PUNJAB,1999,1999-00,63.53,150.25,402
89,cotton,Jhelum,PUNJAB,1999,1999-00,0.40,0.35,149
90,cotton,Kasur,PUNJAB,1999,1999-00,9.31,23.87,436
91,cotton,Khanewal,PUNJAB,1999,1999-00,190.20,847.69,758
92,cotton,Khushab,PUNJAB,1999,1999-00,0.81,1.42,298
93,cotton,Lahore,PUNJAB,1999,1999-00,0.00,0.00,0
94,cotton,Layyah,PUNJAB,1999,1999-00,44.92,118.06,447
95,cotton,Lodhran,PUNJAB,1999,1999-00,201.13,894.75,756
96,cotton,Mandi Bahauddin,PUNJAB,1999,1999-00,2.02,2.87,242
97,cotton,Mianwali,PUNJAB,1999,1999-00,5.67,13.87,416
98,cotton,Multan,PUNJAB,1999,1999-00,160.25,664.43,705
99,cotton,Muzaffargarh,PUNJAB,1999,1999-00,184.94,488.51,449
100,cotton,Nankana Sahib,PUNJAB,1999,1999-00,0.00,0.00,0
101,cotton,Narowal,PUNJAB,1999,1999-00,0.00,0.00,0
102,cotton,Okara,PUNJAB,1999,1999-00,22.66,59.90,449
103,cotton,Pakpattan,PUNJAB,1999,1999-00,39.66,118.93,510
104,cotton,Rahim Yar Khan,PUNJAB,1999,1999-00,313.22,1102.08,598
105,cotton,Rajanpur,PUNJAB,1999,1999-00,144.87,622.57,731
106,cotton,Rawalpindi,PUNJAB,1999,1999-00,0.00,0.00,0
107,cotton,Sahiwal,PUNJAB,1999,1999-00,75.27,271.29,613
108,cotton,Sargodha,PUNJAB,1999,1999-00,8.50,17.11,342
109,cotton,Sheikhupura,PUNJAB,1999,1999-00,0.81,1.21,254
110,cotton,Sialkot,PUNJAB,1999,1999-00,0.00,0.00,0
111,cotton,Toba Tek Singh,PUNJAB,1999,1999-00,41.68,129.94,530
112,cotton,Vehari,PUNJAB,1999,1999-00,233.50,837.01,609
113,cotton,Badin,SINDH,1999,1999-00,3.00,5.30,300
114,cotton,Dadu,SINDH,1999,1999-00,1.56,5.18,565
115,cotton,Ghotki,SINDH,1999,1999-00,107.30,380.50,603
116,cotton,Hyderabad,SINDH,1999,1999-00,6.62,28.85,741
117,cotton,Jacobabad,SINDH,1999,1999-00,0.00,0.00,0
118,cotton,Jamshoro,SINDH,1999,1999-00,2.14,7.12,565
119,cotton,Karachi,SINDH,1999,1999-00,0.00,0.00,0
120,cotton,Kashmore,SINDH,1999,1999-00,0.00,0.00,0
121,cotton,Khairpur,SINDH,1999,1999-00,79.60,260.70,557
122,cotton,Larkana,SINDH,1999,1999-00,0.00,0.00,0
123,cotton,Matiari,SINDH,1999,1999-00,32.02,139.56,741
124,cotton,Mirpur Khas,SINDH,1999,1999-00,50.30,139.40,471
125,cotton,Naushahro Feroze,SINDH,1999,1999-00,57.40,211.50,626
126,cotton,Qambar Shahdadkot,SINDH,1999,1999-00,0.00,0.00,0
127,cotton,Sanghar,SINDH,1999,1999-00,128.90,574.10,757
128,cotton,Shaheed Benazirabad,SINDH,1999,1999-00,72.30,316.70,745
129,cotton,Shikarpur,SINDH,1999,1999-00,0.00,0.00,0
130,cotton,Sukkur,SINDH,1999,1999-00,35.80,122.70,583
131,cotton,Tando Allahyar,SINDH,1999,1999-00,19.03,82.94,741
132,cotton,Tando Muhammad Khan,SINDH,1999,1999-00,4.23,18.45,741
133,cotton,Tharparkar,SINDH,1999,1999-00,0.00,0.00,0
134,cotton,Thatta,SINDH,1999,1999-00,0.10,0.10,170
135,cotton,Umerkot,SINDH,1999,1999-00,33.20,84.30,432
136,cotton,Bagh,AJK,2000,2000-01,0.00,0.00,0
137,cotton,Bhimber,AJK,2000,2000-01,0.00,0.00,0
138,cotton,Hattian,AJK,2000,2000-01,0.00,0.00,0
139,cotton,Haveli,AJK,2000,2000-01,0.00,0.00,0
140,cotton,Kotli,AJK,2000,2000-01,0.00,0.00,0
141,cotton,Mirpur,AJK,2000,2000-01,0.00,0.00,0
142,cotton,Muzaffarabad,AJK,2000,2000-01,0.00,0.00,0
143,cotton,Neelam,AJK,2000,2000-01,0.00,0.00,0
144,cotton,Poonch,AJK,2000,2000-01,0.00,0.00,0
145,cotton,Sudhnoti,AJK,2000,2000-01,0.00,0.00,0
146,cotton,Awaran,BALOCHISTAN,2000,2000-01,0.00,0.00,0
147,cotton,Barkhan,BALOCHISTAN,2000,2000-01,0.00,0.00,0
148,cotton,Bolan,BALOCHISTAN,2000,2000-01,1.20,3.50,496
149,cotton,Chagai,BALOCHISTAN,2000,2000-01,0.00,0.00,0
150,cotton,Dera Bugti,BALOCHISTAN,2000,2000-01,0.30,0.90,510
151,cotton,Gwadar,BALOCHISTAN,2000,2000-01,0.00,0.00,0
152,cotton,Jafarabad,BALOCHISTAN,2000,2000-01,0.00,0.00,0
153,cotton,Jhal Magsi,BALOCHISTAN,2000,2000-01,0.00,0.00,0
154,cotton,Kalat,BALOCHISTAN,2000,2000-01,0.00,0.00,0
155,cotton,Kech,BALOCHISTAN,2000,2000-01,0.00,0.00,0
156,cotton,Kharan,BALOCHISTAN,2000,2000-01,0.00,0.00,0
157,cotton,Khuzdar,BALOCHISTAN,2000,2000-01,1.60,4.60,489
158,cotton,Kohlu,BALOCHISTAN,2000,2000-01,0.90,2.60,491
159,cotton,Lasbela,BALOCHISTAN,2000,2000-01,1.40,4.00,486
160,cotton,Loralai,BALOCHISTAN,2000,2000-01,0.50,1.60,544
161,cotton,Mastung,BALOCHISTAN,2000,2000-01,0.00,0.00,0
162,cotton,Musakhel,BALOCHISTAN,2000,2000-01,0.00,0.00,0
163,cotton,Nasirabad,BALOCHISTAN,2000,2000-01,11.20,32.70,496
164,cotton,Nushki,BALOCHISTAN,2000,2000-01,0.00,0.00,0
165,cotton,Panjgur,BALOCHISTAN,2000,2000-01,0.00,0.00,0
166,cotton,Pishin,BALOCHISTAN,2000,2000-01,0.00,0.00,0
167,cotton,Qilla Abdullah,BALOCHISTAN,2000,2000-01,0.00,0.00,0
168,cotton,Qilla Saifullah,BALOCHISTAN,2000,2000-01,0.00,0.00,0
169,cotton,Quetta,BALOCHISTAN,2000,2000-01,0.00,0.00,0
170,cotton,Sibi,BALOCHISTAN,2000,2000-01,0.20,0.50,425
171,cotton,Zhob,BALOCHISTAN,2000,2000-01,0.00,0.00,0
172,cotton,Ziarat,BALOCHISTAN,2000,2000-01,0.00,0.00,0
173,cotton,Disputed Area,DISPUTED AREA,2000,2000-01,0.00,0.00,0
174,cotton,Bajaur Agency,FATA,2000,2000-01,0.00,0.00,0
175,cotton,Khyber Agency,FATA,2000,2000-01,0.00,0.00,0
176,cotton,Kurrum Agency,FATA,2000,2000-01,0.00,0.00,0
177,cotton,Mohmand Agency,FATA,2000,2000-01,0.00,0.00,0
178,cotton,North Waziristan Agency,FATA,2000,2000-01,0.00,0.00,0
179,cotton,Orakzai Agency,FATA,2000,2000-01,0.00,0.00,0
180,cotton,South Waziristan Agency,FATA,2000,2000-01,0.00,0.00,0
181,cotton,Islamabad,FEDERAL,2000,2000-01,0.00,0.00,0
182,cotton,Astore,GILGIT BALTISTAN,2000,2000-01,0.00,0.00,0
183,cotton,Baltistan,GILGIT BALTISTAN,2000,2000-01,0.00,0.00,0
184,cotton,Diamir,GILGIT BALTISTAN,2000,2000-01,0.00,0.00,0
185,cotton,Ghanche,GILGIT BALTISTAN,2000,2000-01,0.00,0.00,0
186,cotton,Ghizer,GILGIT BALTISTAN,2000,2000-01,0.00,0.00,0
187,cotton,Gilgit,GILGIT BALTISTAN,2000,2000-01,0.00,0.00,0
188,cotton,Abbottabad,KPK,2000,2000-01,0.00,0.00,0
189,cotton,Bannu,KPK,2000,2000-01,0.00,0.00,0
190,cotton,Battagram,KPK,2000,2000-01,0.00,0.00,0
191,cotton,Buner,KPK,2000,2000-01,0.00,0.00,0
192,cotton,Charsadda,KPK,2000,2000-01,0.00,0.00,0
193,cotton,Chitral,KPK,2000,2000-01,0.00,0.00,0
194,cotton,Dera Ismail Khan,KPK,2000,2000-01,0.20,0.40,340
195,cotton,Hangu,KPK,2000,2000-01,0.00,0.00,0
196,cotton,Haripur,KPK,2000,2000-01,0.00,0.00,0
197,cotton,Karak,KPK,2000,2000-01,0.00,0.00,0
198,cotton,Kohat,KPK,2000,2000-01,0.00,0.00,0
199,cotton,Kohistan,KPK,2000,2000-01,0.00,0.00,0
200,cotton,Lakki Marwat,KPK,2000,2000-01,0.00,0.00,0
201,cotton,Lower Dir,KPK,2000,2000-01,0.00,0.00,0
202,cotton,Malakand,KPK,2000,2000-01,0.00,0.00,0
203,cotton,Mansehra,KPK,2000,2000-01,0.00,0.00,0
204,cotton,Mardan,KPK,2000,2000-01,0.00,0.00,0
205,cotton,Nowshera,KPK,2000,2000-01,0.00,0.00,0
206,cotton,Peshawar,KPK,2000,2000-01,0.00,0.00,0
207,cotton,Shangla,KPK,2000,2000-01,0.00,0.00,0
208,cotton,Swabi,KPK,2000,2000-01,0.00,0.00,0
209,cotton,Swat,KPK,2000,2000-01,0.00,0.00,0
210,cotton,Tank,KPK,2000,2000-01,0.00,0.00,0
211,cotton,Upper Dir,KPK,2000,2000-01,0.00,0.00,0
212,cotton,Attock,PUNJAB,2000,2000-01,0.00,0.00,0
213,cotton,Bahawalnagar,PUNJAB,2000,2000-01,197.89,578.07,497
214,cotton,Bahawalpur,PUNJAB,2000,2000-01,264.66,1118.64,719
215,cotton,Bhakkar,PUNJAB,2000,2000-01,5.26,14.49,468
216,cotton,Chakwal,PUNJAB,2000,2000-01,0.00,0.00,0
217,cotton,Chiniot,PUNJAB,2000,2000-01,0.00,0.00,0
218,cotton,Dera Ghazi Khan,PUNJAB,2000,2000-01,98.74,417.50,719
219,cotton,Faisalabad,PUNJAB,2000,2000-01,43.71,100.04,389
220,cotton,Gujranwala,PUNJAB,2000,2000-01,0.00,0.00,0
221,cotton,Gujrat,PUNJAB,2000,2000-01,0.00,0.00,0
222,cotton,Hafizabad,PUNJAB,2000,2000-01,0.00,0.00,0
223,cotton,Jhang,PUNJAB,2000,2000-01,60.70,141.79,397
224,cotton,Jhelum,PUNJAB,2000,2000-01,0.40,0.29,123
225,cotton,Kasur,PUNJAB,2000,2000-01,8.90,12.46,238
226,cotton,Khanewal,PUNJAB,2000,2000-01,192.63,674.96,596
227,cotton,Khushab,PUNJAB,2000,2000-01,0.40,0.29,123
228,cotton,Lahore,PUNJAB,2000,2000-01,0.00,0.00,0
229,cotton,Layyah,PUNJAB,2000,2000-01,44.11,90.93,350
230,cotton,Lodhran,PUNJAB,2000,2000-01,195.46,714.08,621
231,cotton,Mandi Bahauddin,PUNJAB,2000,2000-01,2.43,2.31,162
232,cotton,Mianwali,PUNJAB,2000,2000-01,4.45,10.00,382
233,cotton,Multan,PUNJAB,2000,2000-01,171.58,618.24,613
234,cotton,Muzaffargarh,PUNJAB,2000,2000-01,190.20,609.45,545
235,cotton,Nankana Sahib,PUNJAB,2000,2000-01,0.00,0.00,0
236,cotton,Narowal,PUNJAB,2000,2000-01,0.00,0.00,0
237,cotton,Okara,PUNJAB,2000,2000-01,16.19,36.12,379
238,cotton,Pakpattan,PUNJAB,2000,2000-01,51.80,139.61,458
239,cotton,Rahim Yar Khan,PUNJAB,2000,2000-01,314.43,1227.11,663
240,cotton,Rajanpur,PUNJAB,2000,2000-01,149.33,674.23,768
241,cotton,Rawalpindi,PUNJAB,2000,2000-01,0.00,0.00,0
242,cotton,Sahiwal,PUNJAB,2000,2000-01,80.13,219.92,467
243,cotton,Sargodha,PUNJAB,2000,2000-01,9.31,11.70,214
244,cotton,Sheikhupura,PUNJAB,2000,2000-01,0.81,0.90,189
245,cotton,Sialkot,PUNJAB,2000,2000-01,0.00,0.00,0
246,cotton,Toba Tek Singh,PUNJAB,2000,2000-01,44.92,116.61,441
247,cotton,Vehari,PUNJAB,2000,2000-01,237.95,1010.26,722
248,cotton,Badin,SINDH,2000,2000-01,1.80,3.70,349
249,cotton,Dadu,SINDH,2000,2000-01,1.14,4.17,623
250,cotton,Ghotki,SINDH,2000,2000-01,88.00,371.40,717
251,cotton,Hyderabad,SINDH,2000,2000-01,5.07,19.03,638
252,cotton,Jacobabad,SINDH,2000,2000-01,0.00,0.00,0
253,cotton,Jamshoro,SINDH,2000,2000-01,1.56,5.73,623
254,cotton,Karachi,SINDH,2000,2000-01,0.00,0.00,0
255,cotton,Kashmore,SINDH,2000,2000-01,0.00,0.00,0
256,cotton,Khairpur,SINDH,2000,2000-01,71.50,275.70,656
257,cotton,Larkana,SINDH,2000,2000-01,0.00,0.00,0
258,cotton,Matiari,SINDH,2000,2000-01,24.52,92.08,638
259,cotton,Mirpur Khas,SINDH,2000,2000-01,76.20,267.00,596
260,cotton,Naushahro Feroze,SINDH,2000,2000-01,39.90,167.00,712
261,cotton,Qambar Shahdadkot,SINDH,2000,2000-01,0.00,0.00,0
262,cotton,Sanghar,SINDH,2000,2000-01,107.50,485.30,767
263,cotton,Shaheed Benazirabad,SINDH,2000,2000-01,60.20,266.10,751
264,cotton,Shikarpur,SINDH,2000,2000-01,0.00,0.00,0
265,cotton,Sukkur,SINDH,2000,2000-01,28.30,116.80,702
266,cotton,Tando Allahyar,SINDH,2000,2000-01,14.57,54.72,638
267,cotton,Tando Muhammad Khan,SINDH,2000,2000-01,3.24,12.17,638
268,cotton,Tharparkar,SINDH,2000,2000-01,0.00,0.00,0
269,cotton,Thatta,SINDH,2000,2000-01,0.10,0.10,170
270,cotton,Umerkot,SINDH,2000,2000-01,0.00,0.00,0
271,cotton,Bagh,AJK,2001,2001-02,0.00,0.00,0
272,cotton,Bhimber,AJK,2001,2001-02,0.00,0.00,0
273,cotton,Hattian,AJK,2001,2001-02,0.00,0.00,0
274,cotton,Haveli,AJK,2001,2001-02,0.00,0.00,0
275,cotton,Kotli,AJK,2001,2001-02,0.00,0.00,0
276,cotton,Mirpur,AJK,2001,2001-02,0.00,0.00,0
277,cotton,Muzaffarabad,AJK,2001,2001-02,0.00,0.00,0
278,cotton,Neelam,AJK,2001,2001-02,0.00,0.00,0
279,cotton,Poonch,AJK,2001,2001-02,0.00,0.00,0
280,cotton,Sudhnoti,AJK,2001,2001-02,0.00,0.00,0
281,cotton,Awaran,BALOCHISTAN,2001,2001-02,0.60,1.60,453
282,cotton,Barkhan,BALOCHISTAN,2001,2001-02,0.00,0.00,0
283,cotton,Bolan,BALOCHISTAN,2001,2001-02,7.10,20.80,498
284,cotton,Chagai,BALOCHISTAN,2001,2001-02,0.00,0.00,0
285,cotton,Dera Bugti,BALOCHISTAN,2001,2001-02,1.00,2.90,493
286,cotton,Gwadar,BALOCHISTAN,2001,2001-02,0.00,0.00,0
287,cotton,Jafarabad,BALOCHISTAN,2001,2001-02,0.00,0.00,0
288,cotton,Jhal Magsi,BALOCHISTAN,2001,2001-02,0.00,0.00,0
289,cotton,Kalat,BALOCHISTAN,2001,2001-02,0.00,0.00,0
290,cotton,Kech,BALOCHISTAN,2001,2001-02,0.00,0.00,0
291,cotton,Kharan,BALOCHISTAN,2001,2001-02,0.00,0.00,0
292,cotton,Khuzdar,BALOCHISTAN,2001,2001-02,6.50,18.70,489
293,cotton,Kohlu,BALOCHISTAN,2001,2001-02,0.60,1.80,510
294,cotton,Lasbela,BALOCHISTAN,2001,2001-02,4.40,12.80,495
295,cotton,Loralai,BALOCHISTAN,2001,2001-02,0.90,2.60,491
296,cotton,Mastung,BALOCHISTAN,2001,2001-02,0.00,0.00,0
297,cotton,Musakhel,BALOCHISTAN,2001,2001-02,0.00,0.00,0
298,cotton,Nasirabad,BALOCHISTAN,2001,2001-02,18.70,56.10,510
299,cotton,Nushki,BALOCHISTAN,2001,2001-02,0.00,0.00,0
300,cotton,Panjgur,BALOCHISTAN,2001,2001-02,0.00,0.00,0
301,cotton,Pishin,BALOCHISTAN,2001,2001-02,0.00,0.00,0
302,cotton,Qilla Abdullah,BALOCHISTAN,2001,2001-02,0.00,0.00,0
303,cotton,Qilla Saifullah,BALOCHISTAN,2001,2001-02,0.00,0.00,0
304,cotton,Quetta,BALOCHISTAN,2001,2001-02,0.00,0.00,0
305,cotton,Sibi,BALOCHISTAN,2001,2001-02,0.60,1.90,538
306,cotton,Zhob,BALOCHISTAN,2001,2001-02,0.00,0.00,0
307,cotton,Ziarat,BALOCHISTAN,2001,2001-02,0.00,0.00,0
308,cotton,Disputed Area,DISPUTED AREA,2001,2001-02,0.00,0.00,0
309,cotton,Bajaur Agency,FATA,2001,2001-02,0.00,0.00,0
310,cotton,Khyber Agency,FATA,2001,2001-02,0.00,0.00,0
311,cotton,Kurrum Agency,FATA,2001,2001-02,0.00,0.00,0
312,cotton,Mohmand Agency,FATA,2001,2001-02,0.00,0.00,0
313,cotton,North Waziristan Agency,FATA,2001,2001-02,0.00,0.00,0
314,cotton,Orakzai Agency,FATA,2001,2001-02,0.00,0.00,0
315,cotton,South Waziristan Agency,FATA,2001,2001-02,0.00,0.00,0
316,cotton,Islamabad,FEDERAL,2001,2001-02,0.00,0.00,0
317,cotton,Astore,GILGIT BALTISTAN,2001,2001-02,0.00,0.00,0
318,cotton,Baltistan,GILGIT BALTISTAN,2001,2001-02,0.00,0.00,0
319,cotton,Diamir,GILGIT BALTISTAN,2001,2001-02,0.00,0.00,0
320,cotton,Ghanche,GILGIT BALTISTAN,2001,2001-02,0.00,0.00,0
321,cotton,Ghizer,GILGIT BALTISTAN,2001,2001-02,0.00,0.00,0
322,cotton,Gilgit,GILGIT BALTISTAN,2001,2001-02,0.00,0.00,0
323,cotton,Abbottabad,KPK,2001,2001-02,0.00,0.00,0
324,cotton,Bannu,KPK,2001,2001-02,0.00,0.00,0
325,cotton,Battagram,KPK,2001,2001-02,0.00,0.00,0
326,cotton,Buner,KPK,2001,2001-02,0.00,0.00,0
327,cotton,Charsadda,KPK,2001,2001-02,0.00,0.00,0
328,cotton,Chitral,KPK,2001,2001-02,0.00,0.00,0
329,cotton,Dera Ismail Khan,KPK,2001,2001-02,1.60,4.10,436
330,cotton,Hangu,KPK,2001,2001-02,0.00,0.00,0
331,cotton,Haripur,KPK,2001,2001-02,0.00,0.00,0
332,cotton,Karak,KPK,2001,2001-02,0.00,0.00,0
333,cotton,Kohat,KPK,2001,2001-02,0.00,0.00,0
334,cotton,Kohistan,KPK,2001,2001-02,0.00,0.00,0
335,cotton,Lakki Marwat,KPK,2001,2001-02,0.00,0.00,0
336,cotton,Lower Dir,KPK,2001,2001-02,0.00,0.00,0
337,cotton,Malakand,KPK,2001,2001-02,0.00,0.00,0
338,cotton,Mansehra,KPK,2001,2001-02,0.00,0.00,0
339,cotton,Mardan,KPK,2001,2001-02,0.00,0.00,0
340,cotton,Nowshera,KPK,2001,2001-02,0.00,0.00,0
341,cotton,Peshawar,KPK,2001,2001-02,0.00,0.00,0
342,cotton,Shangla,KPK,2001,2001-02,0.00,0.00,0
343,cotton,Swabi,KPK,2001,2001-02,0.00,0.00,0
344,cotton,Swat,KPK,2001,2001-02,0.00,0.00,0
345,cotton,Tank,KPK,2001,2001-02,0.00,0.00,0
346,cotton,Upper Dir,KPK,2001,2001-02,0.00,0.00,0
347,cotton,Attock,PUNJAB,2001,2001-02,0.00,0.00,0
348,cotton,Bahawalnagar,PUNJAB,2001,2001-02,218.93,598.90,465
349,cotton,Bahawalpur,PUNJAB,2001,2001-02,272.75,1040.48,649
350,cotton,Bhakkar,PUNJAB,2001,2001-02,4.05,10.11,424
351,cotton,Chakwal,PUNJAB,2001,2001-02,0.40,0.41,174
352,cotton,Chiniot,PUNJAB,2001,2001-02,0.00,0.00,0
353,cotton,Dera Ghazi Khan,PUNJAB,2001,2001-02,102.79,433.60,717
354,cotton,Faisalabad,PUNJAB,2001,2001-02,42.49,72.15,289
355,cotton,Gujranwala,PUNJAB,2001,2001-02,0.00,0.00,0
356,cotton,Gujrat,PUNJAB,2001,2001-02,0.00,0.00,0
357,cotton,Hafizabad,PUNJAB,2001,2001-02,0.00,0.00,0
358,cotton,Jhang,PUNJAB,2001,2001-02,62.32,106.88,292
359,cotton,Jhelum,PUNJAB,2001,2001-02,0.40,0.37,157
360,cotton,Kasur,PUNJAB,2001,2001-02,9.31,10.26,187
361,cotton,Khanewal,PUNJAB,2001,2001-02,194.25,676.27,592
362,cotton,Khushab,PUNJAB,2001,2001-02,0.40,0.29,123
363,cotton,Lahore,PUNJAB,2001,2001-02,0.00,0.00,0
364,cotton,Layyah,PUNJAB,2001,2001-02,45.73,81.26,302
365,cotton,Lodhran,PUNJAB,2001,2001-02,199.51,722.51,616
366,cotton,Mandi Bahauddin,PUNJAB,2001,2001-02,2.43,2.40,168
367,cotton,Mianwali,PUNJAB,2001,2001-02,4.05,8.56,359
368,cotton,Multan,PUNJAB,2001,2001-02,176.03,582.40,562
369,cotton,Muzaffargarh,PUNJAB,2001,2001-02,200.32,589.15,500
370,cotton,Nankana Sahib,PUNJAB,2001,2001-02,0.00,0.00,0
371,cotton,Narowal,PUNJAB,2001,2001-02,0.00,0.00,0
372,cotton,Okara,PUNJAB,2001,2001-02,28.33,43.84,263
373,cotton,Pakpattan,PUNJAB,2001,2001-02,86.20,130.08,257
374,cotton,Rahim Yar Khan,PUNJAB,2001,2001-02,326.98,1035.72,538
